"key_ID","year","opinion_by","notification_by","count_opinions"
150,1988,"Greece","Germany",0
151,1988,"Greece","Greece",0
152,1988,"Greece","Iceland",0
153,1988,"Greece","Ireland",0
154,1988,"Greece","Italy",0
155,1988,"Greece","Luxembourg",0
156,1988,"Greece","Netherlands",0
157,1988,"Greece","Norway",0
158,1988,"Greece","Portugal",0
159,1988,"Greece","Spain",0
160,1988,"Greece","Sweden",0
161,1988,"Greece","Switzerland",0
162,1988,"Greece","United Kingdom",0
163,1988,"Iceland","Austria",0
164,1988,"Iceland","Belgium",0
165,1988,"Iceland","Denmark",0
166,1988,"Iceland","Finland",0
167,1988,"Iceland","France",0
168,1988,"Iceland","Germany",0
169,1988,"Iceland","Greece",0
170,1988,"Iceland","Iceland",0
171,1988,"Iceland","Ireland",0
172,1988,"Iceland","Italy",0
173,1988,"Iceland","Luxembourg",0
174,1988,"Iceland","Netherlands",0
175,1988,"Iceland","Norway",0
176,1988,"Iceland","Portugal",0
177,1988,"Iceland","Spain",0
178,1988,"Iceland","Sweden",0
179,1988,"Iceland","Switzerland",0
180,1988,"Iceland","United Kingdom",0
181,1988,"Ireland","Austria",0
182,1988,"Ireland","Belgium",0
183,1988,"Ireland","Denmark",0
184,1988,"Ireland","Finland",0
185,1988,"Ireland","France",0
186,1988,"Ireland","Germany",0
187,1988,"Ireland","Greece",0
188,1988,"Ireland","Iceland",0
189,1988,"Ireland","Ireland",0
190,1988,"Ireland","Italy",0
191,1988,"Ireland","Luxembourg",0
192,1988,"Ireland","Netherlands",0
193,1988,"Ireland","Norway",0
194,1988,"Ireland","Portugal",0
195,1988,"Ireland","Spain",0
196,1988,"Ireland","Sweden",0
197,1988,"Ireland","Switzerland",0
198,1988,"Ireland","United Kingdom",0
199,1988,"Italy","Austria",0
200,1988,"Italy","Belgium",0
201,1988,"Italy","Denmark",0
202,1988,"Italy","Finland",0
203,1988,"Italy","France",0
204,1988,"Italy","Germany",0
205,1988,"Italy","Greece",0
206,1988,"Italy","Iceland",0
207,1988,"Italy","Ireland",0
208,1988,"Italy","Italy",0
209,1988,"Italy","Luxembourg",0
210,1988,"Italy","Netherlands",0
211,1988,"Italy","Norway",0
212,1988,"Italy","Portugal",0
213,1988,"Italy","Spain",0
214,1988,"Italy","Sweden",0
215,1988,"Italy","Switzerland",0
216,1988,"Italy","United Kingdom",0
217,1988,"Luxembourg","Austria",0
218,1988,"Luxembourg","Belgium",0
219,1988,"Luxembourg","Denmark",0
220,1988,"Luxembourg","Finland",0
221,1988,"Luxembourg","France",0
222,1988,"Luxembourg","Germany",0
223,1988,"Luxembourg","Greece",0
224,1988,"Luxembourg","Iceland",0
225,1988,"Luxembourg","Ireland",0
226,1988,"Luxembourg","Italy",0
227,1988,"Luxembourg","Luxembourg",0
228,1988,"Luxembourg","Netherlands",0
229,1988,"Luxembourg","Norway",0
230,1988,"Luxembourg","Portugal",0
231,1988,"Luxembourg","Spain",0
232,1988,"Luxembourg","Sweden",0
233,1988,"Luxembourg","Switzerland",0
234,1988,"Luxembourg","United Kingdom",0
235,1988,"Netherlands","Austria",0
236,1988,"Netherlands","Belgium",0
237,1988,"Netherlands","Denmark",0
238,1988,"Netherlands","Finland",0
239,1988,"Netherlands","France",0
240,1988,"Netherlands","Germany",0
241,1988,"Netherlands","Greece",0
242,1988,"Netherlands","Iceland",0
243,1988,"Netherlands","Ireland",0
244,1988,"Netherlands","Italy",0
245,1988,"Netherlands","Luxembourg",0
246,1988,"Netherlands","Netherlands",0
247,1988,"Netherlands","Norway",0
248,1988,"Netherlands","Portugal",0
249,1988,"Netherlands","Spain",0
250,1988,"Netherlands","Sweden",0
251,1988,"Netherlands","Switzerland",0
252,1988,"Netherlands","United Kingdom",0
253,1988,"Norway","Austria",0
254,1988,"Norway","Belgium",0
255,1988,"Norway","Denmark",0
256,1988,"Norway","Finland",0
257,1988,"Norway","France",0
258,1988,"Norway","Germany",0
259,1988,"Norway","Greece",0
260,1988,"Norway","Iceland",0
261,1988,"Norway","Ireland",0
262,1988,"Norway","Italy",0
263,1988,"Norway","Luxembourg",0
264,1988,"Norway","Netherlands",0
265,1988,"Norway","Norway",0
266,1988,"Norway","Portugal",0
267,1988,"Norway","Spain",0
268,1988,"Norway","Sweden",0
269,1988,"Norway","Switzerland",0
270,1988,"Norway","United Kingdom",0
271,1988,"Portugal","Austria",0
272,1988,"Portugal","Belgium",0
273,1988,"Portugal","Denmark",0
274,1988,"Portugal","Finland",0
275,1988,"Portugal","France",0
276,1988,"Portugal","Germany",0
277,1988,"Portugal","Greece",0
278,1988,"Portugal","Iceland",0
279,1988,"Portugal","Ireland",0
280,1988,"Portugal","Italy",0
281,1988,"Portugal","Luxembourg",0
282,1988,"Portugal","Netherlands",0
283,1988,"Portugal","Norway",0
284,1988,"Portugal","Portugal",0
285,1988,"Portugal","Spain",0
286,1988,"Portugal","Sweden",0
287,1988,"Portugal","Switzerland",0
288,1988,"Portugal","United Kingdom",0
289,1988,"Spain","Austria",0
290,1988,"Spain","Belgium",0
291,1988,"Spain","Denmark",0
292,1988,"Spain","Finland",0
293,1988,"Spain","France",0
294,1988,"Spain","Germany",0
295,1988,"Spain","Greece",0
296,1988,"Spain","Iceland",0
297,1988,"Spain","Ireland",0
298,1988,"Spain","Italy",0
299,1988,"Spain","Luxembourg",0
300,1988,"Spain","Netherlands",0
301,1988,"Spain","Norway",0
302,1988,"Spain","Portugal",0
303,1988,"Spain","Spain",0
304,1988,"Spain","Sweden",0
305,1988,"Spain","Switzerland",0
306,1988,"Spain","United Kingdom",0
307,1988,"Sweden","Austria",0
308,1988,"Sweden","Belgium",0
309,1988,"Sweden","Denmark",0
310,1988,"Sweden","Finland",0
311,1988,"Sweden","France",0
312,1988,"Sweden","Germany",0
313,1988,"Sweden","Greece",0
314,1988,"Sweden","Iceland",0
315,1988,"Sweden","Ireland",0
316,1988,"Sweden","Italy",0
317,1988,"Sweden","Luxembourg",0
318,1988,"Sweden","Netherlands",0
319,1988,"Sweden","Norway",0
320,1988,"Sweden","Portugal",0
321,1988,"Sweden","Spain",0
322,1988,"Sweden","Sweden",0
323,1988,"Sweden","Switzerland",0
324,1988,"Sweden","United Kingdom",0
325,1988,"Switzerland","Austria",0
326,1988,"Switzerland","Belgium",0
327,1988,"Switzerland","Denmark",0
328,1988,"Switzerland","Finland",0
329,1988,"Switzerland","France",0
330,1988,"Switzerland","Germany",0
331,1988,"Switzerland","Greece",0
332,1988,"Switzerland","Iceland",0
333,1988,"Switzerland","Ireland",0
334,1988,"Switzerland","Italy",0
335,1988,"Switzerland","Luxembourg",0
336,1988,"Switzerland","Netherlands",0
337,1988,"Switzerland","Norway",0
338,1988,"Switzerland","Portugal",0
339,1988,"Switzerland","Spain",0
340,1988,"Switzerland","Sweden",0
341,1988,"Switzerland","Switzerland",0
342,1988,"Switzerland","United Kingdom",0
343,1988,"United Kingdom","Austria",0
344,1988,"United Kingdom","Belgium",0
345,1988,"United Kingdom","Denmark",0
346,1988,"United Kingdom","Finland",0
347,1988,"United Kingdom","France",0
348,1988,"United Kingdom","Germany",0
349,1988,"United Kingdom","Greece",0
350,1988,"United Kingdom","Iceland",0
351,1988,"United Kingdom","Ireland",0
352,1988,"United Kingdom","Italy",0
353,1988,"United Kingdom","Luxembourg",0
354,1988,"United Kingdom","Netherlands",0
355,1988,"United Kingdom","Norway",0
356,1988,"United Kingdom","Portugal",0
357,1988,"United Kingdom","Spain",0
358,1988,"United Kingdom","Sweden",0
359,1988,"United Kingdom","Switzerland",0
360,1988,"United Kingdom","United Kingdom",0
361,1989,"Austria","Austria",0
362,1989,"Austria","Belgium",0
363,1989,"Austria","Denmark",0
364,1989,"Austria","Finland",0
365,1989,"Austria","France",0
366,1989,"Austria","Germany",0
367,1989,"Austria","Greece",0
368,1989,"Austria","Iceland",0
369,1989,"Austria","Ireland",0
370,1989,"Austria","Italy",0
371,1989,"Austria","Luxembourg",0
372,1989,"Austria","Netherlands",0
373,1989,"Austria","Norway",0
374,1989,"Austria","Portugal",0
375,1989,"Austria","Spain",0
376,1989,"Austria","Sweden",0
377,1989,"Austria","Switzerland",0
378,1989,"Austria","United Kingdom",0
379,1989,"Belgium","Austria",0
380,1989,"Belgium","Belgium",0
381,1989,"Belgium","Denmark",0
382,1989,"Belgium","Finland",0
383,1989,"Belgium","France",0
384,1989,"Belgium","Germany",3
385,1989,"Belgium","Greece",0
386,1989,"Belgium","Iceland",0
387,1989,"Belgium","Ireland",0
388,1989,"Belgium","Italy",0
389,1989,"Belgium","Luxembourg",0
390,1989,"Belgium","Netherlands",1
391,1989,"Belgium","Norway",0
392,1989,"Belgium","Portugal",0
393,1989,"Belgium","Spain",0
394,1989,"Belgium","Sweden",0
395,1989,"Belgium","Switzerland",0
396,1989,"Belgium","United Kingdom",1
397,1989,"Commission","Austria",0
398,1989,"Commission","Belgium",9
399,1989,"Commission","Denmark",3
400,1989,"Commission","Finland",0
401,1989,"Commission","France",2
402,1989,"Commission","Germany",42
403,1989,"Commission","Greece",4
404,1989,"Commission","Iceland",0
405,1989,"Commission","Ireland",0
406,1989,"Commission","Italy",7
407,1989,"Commission","Luxembourg",2
408,1989,"Commission","Netherlands",4
409,1989,"Commission","Norway",0
410,1989,"Commission","Portugal",0
411,1989,"Commission","Spain",8
412,1989,"Commission","Sweden",0
413,1989,"Commission","Switzerland",0
414,1989,"Commission","United Kingdom",6
415,1989,"Denmark","Austria",0
416,1989,"Denmark","Belgium",0
417,1989,"Denmark","Denmark",0
418,1989,"Denmark","Finland",0
419,1989,"Denmark","France",0
420,1989,"Denmark","Germany",0
421,1989,"Denmark","Greece",0
422,1989,"Denmark","Iceland",0
423,1989,"Denmark","Ireland",0
424,1989,"Denmark","Italy",0
425,1989,"Denmark","Luxembourg",0
426,1989,"Denmark","Netherlands",0
427,1989,"Denmark","Norway",0
428,1989,"Denmark","Portugal",0
429,1989,"Denmark","Spain",1
430,1989,"Denmark","Sweden",0
431,1989,"Denmark","Switzerland",0
432,1989,"Denmark","United Kingdom",1
433,1989,"European Free Trade Association","Austria",0
434,1989,"European Free Trade Association","Belgium",0
435,1989,"European Free Trade Association","Denmark",0
436,1989,"European Free Trade Association","Finland",0
437,1989,"European Free Trade Association","France",0
438,1989,"European Free Trade Association","Germany",0
439,1989,"European Free Trade Association","Greece",0
440,1989,"European Free Trade Association","Iceland",0
441,1989,"European Free Trade Association","Ireland",0
442,1989,"European Free Trade Association","Italy",0
443,1989,"European Free Trade Association","Luxembourg",0
444,1989,"European Free Trade Association","Netherlands",0
445,1989,"European Free Trade Association","Norway",0
446,1989,"European Free Trade Association","Portugal",0
447,1989,"European Free Trade Association","Spain",0
448,1989,"European Free Trade Association","Sweden",0
449,1989,"European Free Trade Association","Switzerland",0
450,1989,"European Free Trade Association","United Kingdom",0
451,1989,"Finland","Austria",0
452,1989,"Finland","Belgium",0
453,1989,"Finland","Denmark",0
454,1989,"Finland","Finland",0
455,1989,"Finland","France",0
456,1989,"Finland","Germany",0
457,1989,"Finland","Greece",0
458,1989,"Finland","Iceland",0
459,1989,"Finland","Ireland",0
460,1989,"Finland","Italy",0
461,1989,"Finland","Luxembourg",0
462,1989,"Finland","Netherlands",0
463,1989,"Finland","Norway",0
464,1989,"Finland","Portugal",0
465,1989,"Finland","Spain",0
466,1989,"Finland","Sweden",0
467,1989,"Finland","Switzerland",0
468,1989,"Finland","United Kingdom",0
469,1989,"France","Austria",0
470,1989,"France","Belgium",6
471,1989,"France","Denmark",2
472,1989,"France","Finland",0
473,1989,"France","France",0
474,1989,"France","Germany",17
475,1989,"France","Greece",0
476,1989,"France","Iceland",0
477,1989,"France","Ireland",0
478,1989,"France","Italy",1
479,1989,"France","Luxembourg",0
480,1989,"France","Netherlands",5
481,1989,"France","Norway",0
482,1989,"France","Portugal",0
483,1989,"France","Spain",4
484,1989,"France","Sweden",0
485,1989,"France","Switzerland",0
486,1989,"France","United Kingdom",8
487,1989,"Germany","Austria",0
488,1989,"Germany","Belgium",1
489,1989,"Germany","Denmark",0
490,1989,"Germany","Finland",0
491,1989,"Germany","France",5
492,1989,"Germany","Germany",0
493,1989,"Germany","Greece",0
494,1989,"Germany","Iceland",0
495,1989,"Germany","Ireland",0
496,1989,"Germany","Italy",1
497,1989,"Germany","Luxembourg",0
498,1989,"Germany","Netherlands",2
499,1989,"Germany","Norway",0
500,1989,"Germany","Portugal",0
501,1989,"Germany","Spain",0
502,1989,"Germany","Sweden",0
503,1989,"Germany","Switzerland",0
504,1989,"Germany","United Kingdom",6
505,1989,"Greece","Austria",0
506,1989,"Greece","Belgium",0
507,1989,"Greece","Denmark",1
508,1989,"Greece","Finland",0
509,1989,"Greece","France",1
510,1989,"Greece","Germany",1
511,1989,"Greece","Greece",0
512,1989,"Greece","Iceland",0
513,1989,"Greece","Ireland",0
514,1989,"Greece","Italy",1
515,1989,"Greece","Luxembourg",0
516,1989,"Greece","Netherlands",0
517,1989,"Greece","Norway",0
518,1989,"Greece","Portugal",0
519,1989,"Greece","Spain",0
520,1989,"Greece","Sweden",0
521,1989,"Greece","Switzerland",0
522,1989,"Greece","United Kingdom",0
523,1989,"Iceland","Austria",0
524,1989,"Iceland","Belgium",0
525,1989,"Iceland","Denmark",0
526,1989,"Iceland","Finland",0
527,1989,"Iceland","France",0
528,1989,"Iceland","Germany",0
529,1989,"Iceland","Greece",0
530,1989,"Iceland","Iceland",0
531,1989,"Iceland","Ireland",0
532,1989,"Iceland","Italy",0
533,1989,"Iceland","Luxembourg",0
534,1989,"Iceland","Netherlands",0
535,1989,"Iceland","Norway",0
536,1989,"Iceland","Portugal",0
537,1989,"Iceland","Spain",0
538,1989,"Iceland","Sweden",0
539,1989,"Iceland","Switzerland",0
540,1989,"Iceland","United Kingdom",0
541,1989,"Ireland","Austria",0
542,1989,"Ireland","Belgium",0
543,1989,"Ireland","Denmark",0
544,1989,"Ireland","Finland",0
545,1989,"Ireland","France",1
546,1989,"Ireland","Germany",1
547,1989,"Ireland","Greece",1
548,1989,"Ireland","Iceland",0
549,1989,"Ireland","Ireland",0
550,1989,"Ireland","Italy",0
551,1989,"Ireland","Luxembourg",0
552,1989,"Ireland","Netherlands",0
553,1989,"Ireland","Norway",0
554,1989,"Ireland","Portugal",0
555,1989,"Ireland","Spain",0
556,1989,"Ireland","Sweden",0
557,1989,"Ireland","Switzerland",0
558,1989,"Ireland","United Kingdom",0
559,1989,"Italy","Austria",0
560,1989,"Italy","Belgium",1
561,1989,"Italy","Denmark",0
562,1989,"Italy","Finland",0
563,1989,"Italy","France",1
564,1989,"Italy","Germany",5
565,1989,"Italy","Greece",1
566,1989,"Italy","Iceland",0
567,1989,"Italy","Ireland",0
568,1989,"Italy","Italy",0
569,1989,"Italy","Luxembourg",0
570,1989,"Italy","Netherlands",1
571,1989,"Italy","Norway",0
572,1989,"Italy","Portugal",0
573,1989,"Italy","Spain",0
574,1989,"Italy","Sweden",0
575,1989,"Italy","Switzerland",0
576,1989,"Italy","United Kingdom",0
577,1989,"Luxembourg","Austria",0
578,1989,"Luxembourg","Belgium",0
579,1989,"Luxembourg","Denmark",0
580,1989,"Luxembourg","Finland",0
581,1989,"Luxembourg","France",0
582,1989,"Luxembourg","Germany",0
583,1989,"Luxembourg","Greece",0
584,1989,"Luxembourg","Iceland",0
585,1989,"Luxembourg","Ireland",0
586,1989,"Luxembourg","Italy",0
587,1989,"Luxembourg","Luxembourg",0
588,1989,"Luxembourg","Netherlands",0
589,1989,"Luxembourg","Norway",0
590,1989,"Luxembourg","Portugal",0
591,1989,"Luxembourg","Spain",0
592,1989,"Luxembourg","Sweden",0
593,1989,"Luxembourg","Switzerland",0
594,1989,"Luxembourg","United Kingdom",0
595,1989,"Netherlands","Austria",0
596,1989,"Netherlands","Belgium",1
597,1989,"Netherlands","Denmark",0
598,1989,"Netherlands","Finland",0
599,1989,"Netherlands","France",0
600,1989,"Netherlands","Germany",4
601,1989,"Netherlands","Greece",0
602,1989,"Netherlands","Iceland",0
603,1989,"Netherlands","Ireland",0
604,1989,"Netherlands","Italy",0
605,1989,"Netherlands","Luxembourg",0
606,1989,"Netherlands","Netherlands",0
607,1989,"Netherlands","Norway",0
608,1989,"Netherlands","Portugal",0
609,1989,"Netherlands","Spain",0
610,1989,"Netherlands","Sweden",0
611,1989,"Netherlands","Switzerland",0
612,1989,"Netherlands","United Kingdom",0
613,1989,"Norway","Austria",0
614,1989,"Norway","Belgium",0
615,1989,"Norway","Denmark",0
616,1989,"Norway","Finland",0
617,1989,"Norway","France",0
618,1989,"Norway","Germany",0
619,1989,"Norway","Greece",0
620,1989,"Norway","Iceland",0
621,1989,"Norway","Ireland",0
622,1989,"Norway","Italy",0
623,1989,"Norway","Luxembourg",0
624,1989,"Norway","Netherlands",0
625,1989,"Norway","Norway",0
626,1989,"Norway","Portugal",0
627,1989,"Norway","Spain",0
628,1989,"Norway","Sweden",0
629,1989,"Norway","Switzerland",0
630,1989,"Norway","United Kingdom",0
631,1989,"Portugal","Austria",0
632,1989,"Portugal","Belgium",0
633,1989,"Portugal","Denmark",0
634,1989,"Portugal","Finland",0
635,1989,"Portugal","France",0
636,1989,"Portugal","Germany",0
637,1989,"Portugal","Greece",0
638,1989,"Portugal","Iceland",0
639,1989,"Portugal","Ireland",0
640,1989,"Portugal","Italy",0
641,1989,"Portugal","Luxembourg",0
642,1989,"Portugal","Netherlands",0
643,1989,"Portugal","Norway",0
644,1989,"Portugal","Portugal",0
645,1989,"Portugal","Spain",0
646,1989,"Portugal","Sweden",0
647,1989,"Portugal","Switzerland",0
648,1989,"Portugal","United Kingdom",0
649,1989,"Spain","Austria",0
650,1989,"Spain","Belgium",1
651,1989,"Spain","Denmark",1
652,1989,"Spain","Finland",0
653,1989,"Spain","France",1
654,1989,"Spain","Germany",1
655,1989,"Spain","Greece",0
656,1989,"Spain","Iceland",0
657,1989,"Spain","Ireland",0
658,1989,"Spain","Italy",0
659,1989,"Spain","Luxembourg",1
660,1989,"Spain","Netherlands",1
661,1989,"Spain","Norway",0
662,1989,"Spain","Portugal",0
663,1989,"Spain","Spain",0
664,1989,"Spain","Sweden",0
665,1989,"Spain","Switzerland",0
666,1989,"Spain","United Kingdom",3
667,1989,"Sweden","Austria",0
668,1989,"Sweden","Belgium",0
669,1989,"Sweden","Denmark",0
670,1989,"Sweden","Finland",0
671,1989,"Sweden","France",0
672,1989,"Sweden","Germany",0
673,1989,"Sweden","Greece",0
674,1989,"Sweden","Iceland",0
675,1989,"Sweden","Ireland",0
676,1989,"Sweden","Italy",0
677,1989,"Sweden","Luxembourg",0
678,1989,"Sweden","Netherlands",0
679,1989,"Sweden","Norway",0
680,1989,"Sweden","Portugal",0
681,1989,"Sweden","Spain",0
682,1989,"Sweden","Sweden",0
683,1989,"Sweden","Switzerland",0
684,1989,"Sweden","United Kingdom",0
685,1989,"Switzerland","Austria",0
686,1989,"Switzerland","Belgium",0
687,1989,"Switzerland","Denmark",0
688,1989,"Switzerland","Finland",0
689,1989,"Switzerland","France",0
690,1989,"Switzerland","Germany",0
691,1989,"Switzerland","Greece",0
692,1989,"Switzerland","Iceland",0
693,1989,"Switzerland","Ireland",0
694,1989,"Switzerland","Italy",0
695,1989,"Switzerland","Luxembourg",0
696,1989,"Switzerland","Netherlands",0
697,1989,"Switzerland","Norway",0
698,1989,"Switzerland","Portugal",0
699,1989,"Switzerland","Spain",0
700,1989,"Switzerland","Sweden",0
701,1989,"Switzerland","Switzerland",0
702,1989,"Switzerland","United Kingdom",0
703,1989,"United Kingdom","Austria",0
704,1989,"United Kingdom","Belgium",3
705,1989,"United Kingdom","Denmark",0
706,1989,"United Kingdom","Finland",0
707,1989,"United Kingdom","France",4
708,1989,"United Kingdom","Germany",4
709,1989,"United Kingdom","Greece",1
710,1989,"United Kingdom","Iceland",0
711,1989,"United Kingdom","Ireland",0
712,1989,"United Kingdom","Italy",0
713,1989,"United Kingdom","Luxembourg",0
714,1989,"United Kingdom","Netherlands",5
715,1989,"United Kingdom","Norway",0
716,1989,"United Kingdom","Portugal",0
717,1989,"United Kingdom","Spain",2
718,1989,"United Kingdom","Sweden",0
719,1989,"United Kingdom","Switzerland",0
720,1989,"United Kingdom","United Kingdom",0
721,1990,"Austria","Austria",0
722,1990,"Austria","Belgium",0
723,1990,"Austria","Denmark",0
724,1990,"Austria","Finland",0
725,1990,"Austria","France",0
726,1990,"Austria","Germany",0
727,1990,"Austria","Greece",0
728,1990,"Austria","Iceland",0
729,1990,"Austria","Ireland",0
730,1990,"Austria","Italy",0
731,1990,"Austria","Luxembourg",0
732,1990,"Austria","Netherlands",0
733,1990,"Austria","Norway",0
734,1990,"Austria","Portugal",0
735,1990,"Austria","Spain",0
736,1990,"Austria","Sweden",0
737,1990,"Austria","Switzerland",0
738,1990,"Austria","United Kingdom",0
739,1990,"Belgium","Austria",0
740,1990,"Belgium","Belgium",0
741,1990,"Belgium","Denmark",0
742,1990,"Belgium","Finland",0
743,1990,"Belgium","France",3
744,1990,"Belgium","Germany",3
745,1990,"Belgium","Greece",0
746,1990,"Belgium","Iceland",0
747,1990,"Belgium","Ireland",0
748,1990,"Belgium","Italy",0
749,1990,"Belgium","Luxembourg",0
750,1990,"Belgium","Netherlands",0
751,1990,"Belgium","Norway",0
752,1990,"Belgium","Portugal",0
753,1990,"Belgium","Spain",0
754,1990,"Belgium","Sweden",0
755,1990,"Belgium","Switzerland",0
756,1990,"Belgium","United Kingdom",0
757,1990,"Commission","Austria",0
758,1990,"Commission","Belgium",8
759,1990,"Commission","Denmark",11
760,1990,"Commission","Finland",0
761,1990,"Commission","France",41
762,1990,"Commission","Germany",33
763,1990,"Commission","Greece",5
764,1990,"Commission","Iceland",0
765,1990,"Commission","Ireland",2
766,1990,"Commission","Italy",16
767,1990,"Commission","Luxembourg",0
768,1990,"Commission","Netherlands",7
769,1990,"Commission","Norway",0
770,1990,"Commission","Portugal",1
771,1990,"Commission","Spain",6
772,1990,"Commission","Sweden",0
773,1990,"Commission","Switzerland",0
774,1990,"Commission","United Kingdom",30
775,1990,"Denmark","Austria",0
776,1990,"Denmark","Belgium",0
777,1990,"Denmark","Denmark",0
778,1990,"Denmark","Finland",0
779,1990,"Denmark","France",1
780,1990,"Denmark","Germany",0
781,1990,"Denmark","Greece",0
782,1990,"Denmark","Iceland",0
783,1990,"Denmark","Ireland",0
784,1990,"Denmark","Italy",0
785,1990,"Denmark","Luxembourg",0
786,1990,"Denmark","Netherlands",0
787,1990,"Denmark","Norway",0
788,1990,"Denmark","Portugal",0
