"key_ID","year","notification_by","count_notifications"
217,1998,"France",47
218,1998,"Germany",76
219,1998,"Greece",11
220,1998,"Iceland",5
221,1998,"Ireland",1
222,1998,"Italy",32
223,1998,"Liechtenstein",0
224,1998,"Luxembourg",2
225,1998,"Netherlands",122
226,1998,"Norway",32
227,1998,"Portugal",11
228,1998,"Spain",24
229,1998,"Sweden",30
230,1998,"Switzerland",13
231,1998,"Turkey",0
232,1998,"United Kingdom",51
233,1999,"Austria",69
234,1999,"Belgium",20
235,1999,"Commission",0
236,1999,"Denmark",43
237,1999,"European Free Trade Association",0
238,1999,"Finland",24
239,1999,"France",54
240,1999,"Germany",85
241,1999,"Greece",17
242,1999,"Iceland",4
243,1999,"Ireland",4
244,1999,"Italy",25
245,1999,"Liechtenstein",0
246,1999,"Luxembourg",1
247,1999,"Netherlands",128
248,1999,"Norway",14
249,1999,"Portugal",6
250,1999,"Spain",31
251,1999,"Sweden",35
252,1999,"Switzerland",17
253,1999,"Turkey",0
254,1999,"United Kingdom",49
255,2000,"Austria",138
256,2000,"Belgium",39
257,2000,"Commission",0
258,2000,"Denmark",114
259,2000,"European Free Trade Association",0
260,2000,"Finland",23
261,2000,"France",30
262,2000,"Germany",83
263,2000,"Greece",13
264,2000,"Iceland",3
265,2000,"Ireland",7
266,2000,"Italy",26
267,2000,"Liechtenstein",0
268,2000,"Luxembourg",7
269,2000,"Netherlands",122
270,2000,"Norway",15
271,2000,"Portugal",5
272,2000,"Spain",20
273,2000,"Sweden",29
274,2000,"Switzerland",9
275,2000,"Turkey",0
276,2000,"United Kingdom",95
277,2001,"Austria",75
278,2001,"Belgium",30
279,2001,"Commission",0
280,2001,"Denmark",36
281,2001,"European Free Trade Association",0
282,2001,"Finland",22
283,2001,"France",55
284,2001,"Germany",50
285,2001,"Greece",8
286,2001,"Iceland",7
287,2001,"Ireland",2
288,2001,"Italy",30
289,2001,"Liechtenstein",0
290,2001,"Luxembourg",0
291,2001,"Netherlands",98
292,2001,"Norway",16
293,2001,"Portugal",7
294,2001,"Spain",27
295,2001,"Sweden",40
296,2001,"Switzerland",12
297,2001,"Turkey",0
298,2001,"United Kingdom",50
299,2002,"Austria",39
300,2002,"Belgium",59
301,2002,"Commission",0
302,2002,"Denmark",30
303,2002,"European Free Trade Association",0
304,2002,"Finland",18
305,2002,"France",55
306,2002,"Germany",33
307,2002,"Greece",9
308,2002,"Iceland",4
309,2002,"Ireland",6
310,2002,"Italy",36
311,2002,"Liechtenstein",7
312,2002,"Luxembourg",0
313,2002,"Netherlands",88
314,2002,"Norway",38
315,2002,"Portugal",4
316,2002,"Spain",33
317,2002,"Sweden",48
318,2002,"Switzerland",6
319,2002,"Turkey",0
320,2002,"United Kingdom",50
321,2003,"Austria",51
322,2003,"Belgium",30
323,2003,"Commission",0
324,2003,"Denmark",40
325,2003,"European Free Trade Association",0
326,2003,"Finland",11
327,2003,"France",61
328,2003,"Germany",47
329,2003,"Greece",17
330,2003,"Iceland",3
331,2003,"Ireland",9
332,2003,"Italy",37
333,2003,"Liechtenstein",1
334,2003,"Luxembourg",5
335,2003,"Netherlands",53
336,2003,"Norway",25
337,2003,"Portugal",8
338,2003,"Spain",30
339,2003,"Sweden",38
340,2003,"Switzerland",5
341,2003,"Turkey",0
342,2003,"United Kingdom",49
343,2004,"Austria",50
344,2004,"Belgium",18
345,2004,"Commission",0
346,2004,"Cyprus",1
347,2004,"Czech Republic",14
348,2004,"Denmark",40
349,2004,"Estonia",0
350,2004,"European Free Trade Association",0
351,2004,"Finland",21
352,2004,"France",37
353,2004,"Germany",99
354,2004,"Greece",34
355,2004,"Hungary",4
356,2004,"Iceland",11
357,2004,"Ireland",6
358,2004,"Italy",28
359,2004,"Latvia",13
360,2004,"Liechtenstein",3
361,2004,"Lithuania",4
362,2004,"Luxembourg",4
363,2004,"Malta",3
364,2004,"Netherlands",54
365,2004,"Norway",23
366,2004,"Poland",8
367,2004,"Portugal",3
368,2004,"Slovakia",6
369,2004,"Slovenia",12
370,2004,"Spain",24
371,2004,"Sweden",23
372,2004,"Switzerland",15
373,2004,"Turkey",3
374,2004,"United Kingdom",52
375,2005,"Austria",49
376,2005,"Belgium",20
377,2005,"Commission",0
378,2005,"Cyprus",0
379,2005,"Czech Republic",27
380,2005,"Denmark",27
381,2005,"Estonia",7
382,2005,"European Free Trade Association",0
383,2005,"Finland",6
384,2005,"France",82
385,2005,"Germany",60
386,2005,"Greece",12
387,2005,"Hungary",28
388,2005,"Iceland",17
389,2005,"Ireland",1
390,2005,"Italy",46
391,2005,"Latvia",18
392,2005,"Liechtenstein",4
393,2005,"Lithuania",7
394,2005,"Luxembourg",4
395,2005,"Malta",1
396,2005,"Netherlands",51
397,2005,"Norway",34
398,2005,"Poland",26
399,2005,"Portugal",7
400,2005,"Slovakia",63
401,2005,"Slovenia",19
402,2005,"Spain",35
403,2005,"Sweden",45
404,2005,"Switzerland",6
405,2005,"Turkey",0
406,2005,"United Kingdom",98
407,2006,"Austria",42
408,2006,"Belgium",28
409,2006,"Commission",0
410,2006,"Cyprus",1
411,2006,"Czech Republic",21
412,2006,"Denmark",24
413,2006,"Estonia",8
414,2006,"European Free Trade Association",0
415,2006,"Finland",18
416,2006,"France",57
417,2006,"Germany",77
418,2006,"Greece",5
419,2006,"Hungary",15
420,2006,"Iceland",1
421,2006,"Ireland",6
422,2006,"Italy",20
423,2006,"Latvia",10
424,2006,"Liechtenstein",1
425,2006,"Lithuania",2
426,2006,"Luxembourg",2
427,2006,"Malta",7
428,2006,"Netherlands",71
429,2006,"Norway",21
430,2006,"Poland",48
431,2006,"Portugal",7
432,2006,"Slovakia",9
433,2006,"Slovenia",11
434,2006,"Spain",70
435,2006,"Sweden",50
436,2006,"Switzerland",13
437,2006,"Turkey",19
438,2006,"United Kingdom",59
439,2007,"Austria",48
440,2007,"Belgium",48
441,2007,"Bulgaria",4
442,2007,"Commission",0
443,2007,"Cyprus",0
444,2007,"Czech Republic",24
445,2007,"Denmark",38
446,2007,"Estonia",11
447,2007,"European Free Trade Association",0
448,2007,"Finland",39
449,2007,"France",58
450,2007,"Germany",83
451,2007,"Greece",4
452,2007,"Hungary",12
453,2007,"Iceland",6
454,2007,"Ireland",14
455,2007,"Italy",20
456,2007,"Latvia",8
457,2007,"Liechtenstein",1
458,2007,"Lithuania",6
459,2007,"Luxembourg",2
460,2007,"Malta",0
461,2007,"Netherlands",63
462,2007,"Norway",21
463,2007,"Poland",50
464,2007,"Portugal",3
465,2007,"Romania",5
466,2007,"Slovakia",12
467,2007,"Slovenia",8
468,2007,"Spain",35
469,2007,"Sweden",64
470,2007,"Switzerland",12
471,2007,"Turkey",2
472,2007,"United Kingdom",51
473,2008,"Austria",36
474,2008,"Belgium",32
475,2008,"Bulgaria",6
476,2008,"Commission",0
477,2008,"Cyprus",0
478,2008,"Czech Republic",35
479,2008,"Denmark",22
480,2008,"Estonia",5
481,2008,"European Free Trade Association",0
482,2008,"Finland",31
483,2008,"France",45
484,2008,"Germany",52
485,2008,"Greece",7
486,2008,"Hungary",12
487,2008,"Iceland",9
488,2008,"Ireland",16
489,2008,"Italy",18
490,2008,"Latvia",10
491,2008,"Liechtenstein",0
492,2008,"Lithuania",8
493,2008,"Luxembourg",2
494,2008,"Malta",0
495,2008,"Netherlands",71
496,2008,"Norway",16
497,2008,"Poland",21
498,2008,"Portugal",2
499,2008,"Romania",18
500,2008,"Slovakia",15
501,2008,"Slovenia",3
502,2008,"Spain",41
503,2008,"Sweden",54
504,2008,"Switzerland",3
505,2008,"Turkey",5
506,2008,"United Kingdom",39
507,2009,"Austria",43
508,2009,"Belgium",51
509,2009,"Bulgaria",8
510,2009,"Commission",0
511,2009,"Cyprus",1
512,2009,"Czech Republic",26
513,2009,"Denmark",34
514,2009,"Estonia",15
515,2009,"European Free Trade Association",0
516,2009,"Finland",31
517,2009,"France",56
518,2009,"Germany",64
519,2009,"Greece",9
520,2009,"Hungary",20
521,2009,"Iceland",1
522,2009,"Ireland",8
523,2009,"Italy",31
524,2009,"Latvia",15
525,2009,"Liechtenstein",6
526,2009,"Lithuania",9
527,2009,"Luxembourg",1
528,2009,"Malta",9
529,2009,"Netherlands",67
530,2009,"Norway",9
531,2009,"Poland",20
532,2009,"Portugal",9
533,2009,"Romania",14
534,2009,"Slovakia",16
535,2009,"Slovenia",14
536,2009,"Spain",52
537,2009,"Sweden",31
538,2009,"Switzerland",9
539,2009,"Turkey",3
540,2009,"United Kingdom",54
541,2010,"Austria",48
542,2010,"Belgium",31
543,2010,"Bulgaria",5
544,2010,"Commission",0
545,2010,"Cyprus",6
546,2010,"Czech Republic",26
547,2010,"Denmark",45
548,2010,"Estonia",5
549,2010,"European Free Trade Association",0
550,2010,"Finland",34
551,2010,"France",99
552,2010,"Germany",56
553,2010,"Greece",7
554,2010,"Hungary",10
555,2010,"Iceland",2
556,2010,"Ireland",9
557,2010,"Italy",41
558,2010,"Latvia",12
559,2010,"Liechtenstein",8
560,2010,"Lithuania",8
561,2010,"Luxembourg",63
562,2010,"Malta",12
563,2010,"Netherlands",50
564,2010,"Norway",10
565,2010,"Poland",42
566,2010,"Portugal",7
567,2010,"Romania",41
568,2010,"Slovakia",14
569,2010,"Slovenia",7
570,2010,"Spain",47
571,2010,"Sweden",40
572,2010,"Switzerland",5
573,2010,"Turkey",2
574,2010,"United Kingdom",52
575,2011,"Austria",65
576,2011,"Belgium",19
577,2011,"Bulgaria",11
578,2011,"Commission",0
579,2011,"Cyprus",1
580,2011,"Czech Republic",22
581,2011,"Denmark",38
582,2011,"Estonia",9
583,2011,"European Free Trade Association",0
584,2011,"Finland",23
585,2011,"France",63
586,2011,"Germany",62
587,2011,"Greece",13
588,2011,"Hungary",28
589,2011,"Iceland",6
590,2011,"Ireland",10
591,2011,"Italy",29
592,2011,"Latvia",6
593,2011,"Liechtenstein",1
594,2011,"Lithuania",5
595,2011,"Luxembourg",4
596,2011,"Malta",5
597,2011,"Netherlands",41
598,2011,"Norway",6
599,2011,"Poland",27
600,2011,"Portugal",5
601,2011,"Romania",22
602,2011,"Slovakia",35
603,2011,"Slovenia",10
604,2011,"Spain",39
605,2011,"Sweden",30
606,2011,"Switzerland",7
607,2011,"Turkey",2
608,2011,"United Kingdom",53
609,2012,"Austria",59
610,2012,"Belgium",25
611,2012,"Bulgaria",12
612,2012,"Commission",0
613,2012,"Cyprus",26
614,2012,"Czech Republic",29
615,2012,"Denmark",39
616,2012,"Estonia",16
617,2012,"European Free Trade Association",0
618,2012,"Finland",23
619,2012,"France",57
620,2012,"Germany",57
621,2012,"Greece",15
622,2012,"Hungary",27
623,2012,"Iceland",4
624,2012,"Ireland",6
625,2012,"Italy",48
626,2012,"Latvia",3
627,2012,"Liechtenstein",2
628,2012,"Lithuania",9
629,2012,"Luxembourg",4
630,2012,"Malta",2
631,2012,"Netherlands",43
632,2012,"Norway",4
633,2012,"Poland",37
634,2012,"Portugal",5
635,2012,"Romania",41
636,2012,"Slovakia",28
637,2012,"Slovenia",8
638,2012,"Spain",27
639,2012,"Sweden",40
640,2012,"Switzerland",11
641,2012,"Turkey",0
642,2012,"United Kingdom",48
643,2013,"Austria",63
644,2013,"Belgium",27
645,2013,"Bulgaria",16
646,2013,"Commission",0
647,2013,"Croatia",1
648,2013,"Cyprus",2
649,2013,"Czech Republic",30
650,2013,"Denmark",34
651,2013,"Estonia",12
652,2013,"European Free Trade Association",0
653,2013,"Finland",29
654,2013,"France",49
655,2013,"Germany",61
656,2013,"Greece",12
657,2013,"Hungary",38
658,2013,"Iceland",3
659,2013,"Ireland",8
660,2013,"Italy",34
661,2013,"Latvia",5
662,2013,"Liechtenstein",0
663,2013,"Lithuania",17
664,2013,"Luxembourg",16
665,2013,"Malta",2
666,2013,"Netherlands",41
667,2013,"Norway",13
668,2013,"Poland",27
669,2013,"Portugal",5
670,2013,"Romania",12
671,2013,"Slovakia",33
672,2013,"Slovenia",9
673,2013,"Spain",47
674,2013,"Sweden",33
675,2013,"Switzerland",7
676,2013,"Turkey",6
677,2013,"United Kingdom",42
678,2014,"Austria",38
679,2014,"Belgium",20
680,2014,"Bulgaria",6
681,2014,"Commission",0
682,2014,"Croatia",10
683,2014,"Cyprus",14
684,2014,"Czech Republic",26
685,2014,"Denmark",29
686,2014,"Estonia",18
687,2014,"European Free Trade Association",0
688,2014,"Finland",34
689,2014,"France",49
690,2014,"Germany",50
691,2014,"Greece",7
692,2014,"Hungary",24
693,2014,"Iceland",4
694,2014,"Ireland",6
695,2014,"Italy",29
696,2014,"Latvia",4
697,2014,"Liechtenstein",0
698,2014,"Lithuania",15
699,2014,"Luxembourg",2
700,2014,"Malta",5
701,2014,"Netherlands",59
702,2014,"Norway",17
703,2014,"Poland",25
704,2014,"Portugal",7
705,2014,"Romania",24
706,2014,"Slovakia",23
707,2014,"Slovenia",8
708,2014,"Spain",21
709,2014,"Sweden",38
710,2014,"Switzerland",9
711,2014,"Turkey",6
712,2014,"United Kingdom",64
713,2015,"Austria",43
714,2015,"Belgium",20
715,2015,"Bulgaria",13
716,2015,"Commission",0
717,2015,"Croatia",4
718,2015,"Cyprus",3
719,2015,"Czech Republic",37
720,2015,"Denmark",39
721,2015,"Estonia",17
722,2015,"European Free Trade Association",0
723,2015,"Finland",37
724,2015,"France",69
725,2015,"Germany",61
726,2015,"Greece",8
727,2015,"Hungary",22
728,2015,"Iceland",2
729,2015,"Ireland",2
730,2015,"Italy",20
731,2015,"Latvia",8
732,2015,"Liechtenstein",3
733,2015,"Lithuania",21
734,2015,"Luxembourg",1
735,2015,"Malta",1
736,2015,"Netherlands",44
737,2015,"Norway",18
738,2015,"Poland",36
739,2015,"Portugal",22
740,2015,"Romania",17
741,2015,"Slovakia",35
742,2015,"Slovenia",6
743,2015,"Spain",30
744,2015,"Sweden",32
745,2015,"Switzerland",10
746,2015,"Turkey",16
747,2015,"United Kingdom",79
748,2016,"Austria",34
749,2016,"Belgium",30
750,2016,"Bulgaria",14
751,2016,"Commission",0
752,2016,"Croatia",18
753,2016,"Cyprus",2
754,2016,"Czech Republic",38
755,2016,"Denmark",34
756,2016,"Estonia",14
757,2016,"European Free Trade Association",0
758,2016,"Finland",43
759,2016,"France",80
760,2016,"Germany",63
761,2016,"Greece",8
762,2016,"Hungary",31
763,2016,"Iceland",6
764,2016,"Ireland",11
765,2016,"Italy",40
766,2016,"Latvia",8
767,2016,"Liechtenstein",1
768,2016,"Lithuania",7
769,2016,"Luxembourg",3
770,2016,"Malta",10
771,2016,"Netherlands",45
772,2016,"Norway",34
773,2016,"Poland",28
774,2016,"Portugal",3
775,2016,"Romania",6
776,2016,"Slovakia",12
777,2016,"Slovenia",20
778,2016,"Spain",19
779,2016,"Sweden",33
780,2016,"Switzerland",1
781,2016,"Turkey",15
782,2016,"United Kingdom",46
783,2017,"Austria",40
784,2017,"Belgium",35
785,2017,"Bulgaria",7
786,2017,"Commission",0
787,2017,"Croatia",7
788,2017,"Cyprus",3
789,2017,"Czech Republic",21
790,2017,"Denmark",21
791,2017,"Estonia",11
792,2017,"European Free Trade Association",0
793,2017,"Finland",26
794,2017,"France",71
795,2017,"Germany",65
796,2017,"Greece",78
797,2017,"Hungary",24
798,2017,"Iceland",6
799,2017,"Ireland",6
800,2017,"Italy",19
801,2017,"Latvia",6
802,2017,"Liechtenstein",1
803,2017,"Lithuania",5
804,2017,"Luxembourg",1
805,2017,"Malta",4
806,2017,"Netherlands",46
807,2017,"Norway",11
808,2017,"Poland",26
809,2017,"Portugal",7
810,2017,"Romania",9
811,2017,"Slovakia",35
812,2017,"Slovenia",5
813,2017,"Spain",30
814,2017,"Sweden",35
815,2017,"Switzerland",15
816,2017,"Turkey",17
817,2017,"United Kingdom",33
818,2018,"Austria",68
819,2018,"Belgium",42
820,2018,"Bulgaria",18
821,2018,"Commission",0
822,2018,"Croatia",7
823,2018,"Cyprus",0
824,2018,"Czech Republic",46
825,2018,"Denmark",26
826,2018,"Estonia",14
827,2018,"European Free Trade Association",0
828,2018,"Finland",48
829,2018,"France",48
830,2018,"Germany",54
831,2018,"Greece",14
832,2018,"Hungary",9
833,2018,"Iceland",1
834,2018,"Ireland",2
835,2018,"Italy",23
836,2018,"Latvia",7
837,2018,"Liechtenstein",3
838,2018,"Lithuania",15
839,2018,"Luxembourg",2
840,2018,"Malta",14
841,2018,"Netherlands",32
842,2018,"Norway",13
843,2018,"Poland",28
844,2018,"Portugal",2
845,2018,"Romania",8
846,2018,"Slovakia",15
847,2018,"Slovenia",7
848,2018,"Spain",30
849,2018,"Sweden",54
850,2018,"Switzerland",4
851,2018,"Turkey",26
852,2018,"United Kingdom",33
853,2019,"Austria",59
854,2019,"Belgium",23
855,2019,"Bulgaria",7
856,2019,"Commission",0
857,2019,"Croatia",6
858,2019,"Cyprus",1
859,2019,"Czech Republic",29
860,2019,"Denmark",37
861,2019,"Estonia",10
862,2019,"European Free Trade Association",0
863,2019,"Finland",13
864,2019,"France",56
865,2019,"Germany",56
866,2019,"Greece",16
867,2019,"Hungary",13
868,2019,"Iceland",2
869,2019,"Ireland",11
870,2019,"Italy",31
871,2019,"Latvia",4
872,2019,"Liechtenstein",0
873,2019,"Lithuania",11
874,2019,"Luxembourg",16
875,2019,"Malta",3
876,2019,"Netherlands",49
877,2019,"Norway",18
878,2019,"Poland",62
879,2019,"Portugal",6
880,2019,"Romania",9
881,2019,"Slovakia",23
882,2019,"Slovenia",12
883,2019,"Spain",18
884,2019,"Sweden",40
885,2019,"Switzerland",8
886,2019,"Turkey",9
887,2019,"United Kingdom",35
888,2020,"Austria",31
889,2020,"Belgium",12
890,2020,"Bulgaria",9
891,2020,"Commission",0
892,2020,"Croatia",5
893,2020,"Cyprus",1
894,2020,"Czech Republic",21
895,2020,"Denmark",37
896,2020,"Estonia",6
897,2020,"European Free Trade Association",0
898,2020,"Finland",29
899,2020,"France",87
900,2020,"Germany",46
901,2020,"Greece",6
902,2020,"Hungary",17
903,2020,"Iceland",2
904,2020,"Ireland",6
905,2020,"Italy",13
906,2020,"Latvia",6
907,2020,"Liechtenstein",2
908,2020,"Lithuania",15
909,2020,"Luxembourg",2
910,2020,"Malta",2
911,2020,"Netherlands",29
912,2020,"Norway",10
913,2020,"Poland",12
914,2020,"Portugal",0
915,2020,"Romania",15
916,2020,"Slovakia",10
917,2020,"Slovenia",4
918,2020,"Spain",10
919,2020,"Sweden",43
920,2020,"Switzerland",4
921,2020,"Turkey",6
922,2020,"United Kingdom",10
